keys,en,pt_BR
RUNE_JUMP_IF_TRUE_DESCRIPTION,"If the stack top is 001, jumps through the WARP with the same intensity.","Se o topo da pilha for 001, salta pelo WARP da mesma intensidade."
RUNE_JUMP_IF_TRUE_EXTRA,"conditional jump","salto condicional"
RUNE_INT_MOD_DESCRIPTION,"Modifies the next rune intensity with a mathematical operation.","Modifica a intensidade do selo seguinte com uma operação matemática."
RUNE_INT_MOD_EXTRA,"control","controle"
RUNE_INT_SET_DESCRIPTION,"Waits for the next integer and applies it to the following rune.","Espera o próximo inteiro e aplica-o ao selo seguinte."
RUNE_INT_SET_EXTRA,"control","controle"
RUNE_TRIANGLE_DESCRIPTION,"Prints the value at the top of the stack.","Mostra o valor do topo na execução."
RUNE_TRIANGLE_EXTRA,"output","saída"
RUNE_PRINTLETTER_DESCRIPTION,"Prints the Unicode character represented by the intensity (032 is space).","Mostra o caractere Unicode da intensidade (032 = espaço)."
RUNE_PRINTLETTER_EXTRA,"character","caractere"
RUNE_CROSS_DESCRIPTION,"Ends ritual execution.","Encerra a execução do ritual."
RUNE_CROSS_EXTRA,"end","fim"
RUNE_SQUARE_DESCRIPTION,"Stores the stack top at a memory address.","Guarda o topo em uma posição de memória."
RUNE_SQUARE_EXTRA,"memory","memória"
RUNE_FORK_DESCRIPTION,"Loads a memory address onto the stack.","Lê uma posição de memória indicada pela intensidade para a pilha."
RUNE_FORK_EXTRA,"memory","memória"
RUNE_READ_DESCRIPTION,"Pushes the memory value at the address indicated by the intensity.","Empilha a memória no endereço indicado pela intensidade."
RUNE_READ_EXTRA,"memory","memória"
